sampleId,state,district,taluk,village,latitude,longitude,crop,testDate,ph,ec,organicCarbon,nitrogen,phosphorus,potassium,sulfur,zinc,boron,iron,copper,manganese
S001,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Cotton,2025-01-13,6.16,0.56,0.3,678,10,382,18,0.26,0.35,4.33,0.52,3.81
S002,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Sugarcane,2025-08-03,6.71,0.92,1.07,283,32,254,13,0.48,1.73,5.37,0.16,1.48
S003,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Cotton,2025-11-06,7.68,2.1,0.74,507,10,362,14,1.69,1.19,10.62,0.5,4.52
S004,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Sugarcane,2025-12-05,7.59,2.76,1.06,223,29,222,19,1.34,0.78,5.7,0.25,2.33
S005,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Maize,2025-11-08,6.94,0.84,0.66,396,45,365,12,1.43,1.55,9.76,0.26,1.16
S006,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Cotton,2025-07-25,5.68,2.57,0.77,442,18,415,20,0.91,1.66,6.59,0.29,2.23
S007,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Cotton,2025-10-03,7.52,1.31,0.78,490,19,150,21,1.09,1.41,10.61,0.21,1.8
S008,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Wheat,2025-11-02,6.54,1.75,0.67,377,40,85,26,1.5,1.29,7.37,0.29,4.2
S009,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Groundnut,2025-05-31,5.93,0.21,0.92,389,37,171,21,1.84,1.59,4.98,0.55,4.04
S010,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Maize,2025-07-11,6.96,2.22,0.73,120,43,245,20,0.24,1.69,10.79,0.68,2.54
S011,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Wheat,2025-05-04,5.73,1.46,0.27,665,13,145,26,1.06,1.08,4.65,0.71,3.12
S012,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Sugarcane,2025-10-04,7.42,1.24,0.87,502,33,344,19,0.42,0.56,5.38,0.51,2.15
S013,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Wheat,2025-01-04,7.41,0.35,0.27,152,26,116,21,0.63,1.27,4.14,0.19,5.68
S014,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Tomato,2025-10-23,6.16,1.43,0.61,216,11,417,18,0.84,0.86,10.64,0.14,4.27
S015,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Groundnut,2025-02-01,7.47,2.28,0.31,316,17,354,19,0.45,0.49,6.63,0.71,1.38
S016,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Rice,2025-02-20,7.26,1.61,0.21,215,20,165,18,1.07,0.54,6.01,0.14,2.89
